,primary_photo,source,tags,list_date,price_reduced_amount,matterport,state,city,year_built,baths_3qtr,sold_price,baths_full,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,brand_name
30,,"{'plan_id': None, 'agents': [{'office_name': 'Forrest Meadows Homes & Land'}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","central_air, central_heat, community_outdoor_space, community_security_features, corner_lot, cul_de_sac, dishwasher, energy_efficient, fireplace, hardwood_floors, laundry_room, single_story, garage_1_or_more, garage_2_or_more, fenced_yard",2023-12-19T18:08:22.000000Z,,False,Alabama,Montgomery,1998.0,0.0,129900.0,2.0,0.0,11761.0,1478.0,2.0,other,0,2.0,1.0,3.0,single_family,essentials
31,{'href': 'https://ap.rdcpix.com/a5fe1391acf35d43ee6d825ce86f8115l-m2469028399s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': 'Wallace & Moody Realty'}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","city_view, hardwood_floors, two_or_more_stories, garage_1_or_more",2023-11-10T14:20:36.000000Z,3000.0,False,Alabama,Montgomery,1945.0,0.0,88500.0,2.0,0.0,6534.0,1389.0,2.0,other,0,1.0,2.0,4.0,single_family,essentials
32,,"{'plan_id': None, 'agents': [{'office_name': 'FlatFee.com'}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","carport, central_air, central_heat, dishwasher, laundry_room, single_story",2023-12-19T18:08:22.000000Z,,False,Alabama,Montgomery,1969.0,0.0,145000.0,2.0,0.0,17424.0,2058.0,2.0,other,0,0.0,1.0,3.0,single_family,essentials
33,{'href': 'https://ap.rdcpix.com/c41ec0e28b89fa84db6d75df3a75895fl-m2353506347s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': 'Wallace & Moody Realty'}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","carport, central_air, city_view, community_outdoor_space, recreation_facilities, single_story",2023-07-05T16:47:40.000000Z,9000.0,False,Alabama,Montgomery,1955.0,0.0,65000.0,2.0,0.0,9712.0,1432.0,2.0,other,0,0.0,1.0,3.0,single_family,essentials
34,{'href': 'https://ap.rdcpix.com/1e4bac70e24f789842a6663b5314bb24l-m1823199980s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': 'List With Freedom, Inc.'}, {'office_name': 'KW Montgomery'}], 'spec_id': None, 'type': 'mls'}","city_view, single_story, big_yard, fenced_yard, ensuite, new_roof",2023-10-29T17:55:28.000000Z,5000.0,False,Alabama,Montgomery,1984.0,0.0,169000.0,2.0,0.0,10890.0,1804.0,2.0,other,0,0.0,1.0,3.0,single_family,basic_opt_in
35,{'href': 'https://ap.rdcpix.com/61c1ed5b3aaa88ab80efcc49412241afl-m1501411809s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","central_air, central_heat, city_view, community_outdoor_space, community_security_features, cul_de_sac, dishwasher, fireplace, laundry_room, single_story, furniture",2023-12-08T14:11:39.000000Z,,False,Alabama,Montgomery,1999.0,0.0,180000.0,2.0,0.0,12632.0,1476.0,2.0,other,0,0.0,1.0,3.0,single_family,basic_opt_in
36,{'href': 'https://ap.rdcpix.com/686d934c4cdfa68e232633d5f6aeb101l-m1822167428s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': 'House & Home Real Estate'}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","central_air, central_heat, city_view, community_outdoor_space, cul_de_sac, dishwasher, energy_efficient, fireplace, hardwood_floors, laundry_room, single_story, high_ceiling, floor_plan, rental_property, furniture, new_roof",2023-11-27T22:50:49.000000Z,5001.0,False,Alabama,Montgomery,2001.0,0.0,260000.0,2.0,0.0,12632.0,1888.0,2.0,other,0,0.0,1.0,4.0,single_family,essentials
37,{'href': 'https://ap.rdcpix.com/ef5ee786ae1446e742997757c4150decl-m62694281s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","single_story, fixer_upper",2023-02-24T15:00:22.000000Z,,False,Alabama,Montgomery,1962.0,0.0,60000.0,2.0,0.0,13068.0,1722.0,2.0,other,0,0.0,1.0,3.0,single_family,essentials
38,{'href': 'https://ap.rdcpix.com/1ef4821fcf16029021d658c2db0e28b9l-m129105455s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","central_air, central_heat, city_view, dishwasher, fireplace, hardwood_floors, single_story, garage_1_or_more, garage_2_or_more, ensuite",2023-11-30T13:50:41.000000Z,,False,Alabama,Montgomery,1965.0,0.0,159000.0,2.0,0.0,11326.0,1635.0,2.0,other,0,2.0,1.0,3.0,single_family,essentials
39,{'href': 'https://ap.rdcpix.com/43f3585656821593959c92c35f9706efl-b3477118368s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","central_air, central_heat, city_view, community_outdoor_space, community_security_features, dishwasher, fireplace, laundry_room, recreation_facilities, two_or_more_stories, high_ceiling, master_bedroom, big_lot, ensuite",2023-09-01T00:58:27.000000Z,,False,Alabama,Montgomery,1974.0,0.0,424900.0,2.0,1.0,740520.0,3339.0,3.0,other,0,0.0,2.0,3.0,single_family,basic_opt_in
40,{'href': 'https://ap.rdcpix.com/eb38aea2a104672b0eccd41f7b53dabal-m3977818291s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","horse_facilities, rental_property, big_lot, pond",2022-09-02T18:18:05.000000Z,,False,Alabama,Montgomery,,0.0,370000.0,0.0,0.0,3397680.0,,0.0,other,0,0.0,0.0,0.0,land,
