list_month,price_reduced_amount,postal_code,year_built,baths_3qtr,sold_price,baths_full,baths_half,lot_sqft,sqft,baths,garage,stories,beds,basement,basketball_court,beach,beautiful_backyard,big_bathroom,big_lot,big_yard,carport,cathedral_ceiling,central_air,city_view,clubhouse,community_boat_facilities,community_center,community_clubhouse,community_golf,community_gym,community_outdoor_space,community_park,community_security_features,community_spa_or_hot_tub,community_swimming_pool,community_tennis_court,corner_lot,cul_de_sac,den_or_office,dining_room,disability_features,dishwasher,elevator,energy_efficient,ensuite,exposed_brick,family_room,farm,fenced_yard,fireplace,fixer_upper,floor_plan,forced_air,front_porch,fruit_trees,garage_1_or_more,garage_2_or_more,garage_3_or_more,gated_community,golf_course,gourmet_kitchen,granite_kitchen,groundscare,hardwood_floors,high_ceiling,hill_or_mountain_view,hoa,investment_opportunity,jack_and_jill_bathroom,lake,large_kitchen,laundry_room,library,maintenance,marina,master_bedroom,master_suite,medicalcare,modern_kitchen,mountain_view,new_roof,no_hoa,open_floor_plan,open_house,open_kitchen,outbuilding,park,pets_allowed,playground,private_backyard,private_bathroom,ranch,recreation_facilities,rental_property,river_view,rv_or_boat_parking,security,senior_community,shopping,single_story,smart_homes,solar_system,spa_or_hot_tub,storm_shelter,swimming_pool,tennis,trails,two_or_more_stories,updated_kitchen,vaulted_ceiling,view,washer_dryer,water_view,waterfront,wooded_land,agent,mls,has_primary_photo,median_age,average_household_size,costoflivingindex2023,costoflivingindexgrocerycostsindex,costoflivingindexhousingcostsindex,costoflivingindexutilitycostsindex,cost_of_living_overall,cost_of_living_grocery,cost_of_living_utility,cost_of_living_housing,Mean,Median,Stdev,american_indian_and_alaska_native_category,asian_category,black_or_african-american_category,hispanic_or_latino_category,white_category,male_population_category,female_population_category,total_population_category,number_of_veterans_category,foreign-born_category,type_apartment,type_condo,type_condo_townhome_rowhome_coop,type_condos,type_duplex_triplex,type_land,type_mobile,type_multi_family,type_other,type_single_family,type_townhomes,Region_Midwest,Region_Northeast,Region_South,Region_West,Division_East North Central,Division_East South Central,Division_Middle Atlantic,Division_Mountain,Division_New England,Division_Pacific,Division_South Atlantic,Division_West North Central,Division_West South Central
12,0.0,36117,1998.0,0.0,129900.0,2.0,0.0,11761.0,1478.0,2.0,2.0,1.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False,35.4,2.41,88.8,96.4,70.4,103.6,1,1,2,1,91146.75,133493.75,55875.0,1,1,3,1,1,2,2,2,2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
11,3000.0,36107,1945.0,0.0,88500.0,2.0,0.0,6534.0,1389.0,2.0,1.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,True,35.4,2.41,88.8,96.4,70.4,103.6,1,1,2,1,32307.0,33114.0,22159.0,1,1,3,1,1,2,2,2,2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
12,0.0,36109,1969.0,0.0,145000.0,2.0,0.0,17424.0,2058.0,2.0,0.0,1.0,3.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False,35.4,2.41,88.8,96.4,70.4,103.6,1,1,2,1,54429.2,100300.4,37301.4,1,1,3,1,1,2,2,2,2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
7,9000.0,36107,1955.0,0.0,65000.0,2.0,0.0,9712.0,1432.0,2.0,0.0,1.0,3.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,35.4,2.41,88.8,96.4,70.4,103.6,1,1,2,1,32307.0,33114.0,22159.0,1,1,3,1,1,2,2,2,2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
10,5000.0,36106,1984.0,0.0,169000.0,2.0,0.0,10890.0,1804.0,2.0,0.0,1.0,3.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,35.4,2.41,88.8,96.4,70.4,103.6,1,1,2,1,51585.0,39275.0,43379.0,1,1,3,1,1,2,2,2,2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
12,0.0,36117,1999.0,0.0,180000.0,2.0,0.0,12632.0,1476.0,2.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,35.4,2.41,88.8,96.4,70.4,103.6,1,1,2,1,91146.75,133493.75,55875.0,1,1,3,1,1,2,2,2,2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
11,5001.0,36117,2001.0,0.0,260000.0,2.0,0.0,12632.0,1888.0,2.0,0.0,1.0,4.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,35.4,2.41,88.8,96.4,70.4,103.6,1,1,2,1,91146.75,133493.75,55875.0,1,1,3,1,1,2,2,2,2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
2,0.0,36116,1962.0,0.0,60000.0,2.0,0.0,13068.0,1722.0,2.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,35.4,2.41,88.8,96.4,70.4,103.6,1,1,2,1,68415.5,177388.5,36410.5,1,1,3,1,1,2,2,2,2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
11,0.0,36109,1965.0,0.0,159000.0,2.0,0.0,11326.0,1635.0,2.0,2.0,1.0,3.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,35.4,2.41,88.8,96.4,70.4,103.6,1,1,2,1,54429.2,100300.4,37301.4,1,1,3,1,1,2,2,2,2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
9,0.0,36108,1974.0,0.0,424900.0,2.0,1.0,740520.0,3339.0,3.0,0.0,2.0,3.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,True,35.4,2.41,88.8,96.4,70.4,103.6,1,1,2,1,34417.166666666664,22774.0,35790.333333333336,1,1,3,1,1,2,2,2,2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
