list_date,price_reduced_amount,state,city,postal_code,year_built,baths_3qtr,sold_price,baths_full,baths_half,lot_sqft,sqft,baths,sub_type,garage,stories,beds,type,brand_name,basement,big_bathroom,big_lot,big_yard,carport,cathedral_ceiling,central_air,city_view,clubhouse,community_clubhouse,community_golf,community_gym,community_outdoor_space,community_park,community_security_features,community_spa_or_hot_tub,community_swimming_pool,community_tennis_court,corner_lot,cul_de_sac,den_or_office,dining_room,disability_features,dishwasher,elevator,energy_efficient,ensuite,family_room,farm,fenced_yard,fireplace,fixer_upper,floor_plan,forced_air,front_porch,garage_1_or_more,garage_2_or_more,garage_3_or_more,gated_community,golf_course,gourmet_kitchen,granite_kitchen,groundscare,hardwood_floors,high_ceiling,hill_or_mountain_view,hoa,investment_opportunity,lake,large_kitchen,laundry_room,library,maintenance,master_bedroom,master_suite,medicalcare,modern_kitchen,mountain_view,new_roof,no_hoa,open_floor_plan,open_kitchen,park,pets_allowed,playground,private_backyard,ranch,recreation_facilities,rental_property,river_view,rv_or_boat_parking,security,senior_community,shopping,single_story,solar_system,spa_or_hot_tub,swimming_pool,tennis,trails,two_or_more_stories,updated_kitchen,vaulted_ceiling,view,washer_dryer,water_view,waterfront,agent,mls,has_primary_photo,american_indian_and_alaska_native,asian,black_or_african-american,hispanic_or_latino,white,median_age,male_population,female_population,total_population,number_of_veterans,foreign-born,average_household_size,costoflivingindex2023,costoflivingindexgrocerycostsindex,costoflivingindexhousingcostsindex,costoflivingindexutilitycostsindex,cost_of_living_overall,cost_of_living_grocery,cost_of_living_utility,cost_of_living_housing,Region,Division
12-19-2023,,Alabama,Montgomery,36117,1998.0,0.0,129900.0,2.0,0.0,11761.0,1478.0,2.0,other,2.0,1.0,3.0,single_family,essentials,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1277.0,6518.0,121360.0,6648.0,73545.0,35.4,94582.0,106004.0,200586.0,14955.0,9337.0,2.41,88.8,96.4,70.4,103.6,Low,Low,Average,Low,South,East South Central
11-10-2023,3000.0,Alabama,Montgomery,36107,1945.0,0.0,88500.0,2.0,0.0,6534.0,1389.0,2.0,other,1.0,2.0,4.0,single_family,essentials,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1277.0,6518.0,121360.0,6648.0,73545.0,35.4,94582.0,106004.0,200586.0,14955.0,9337.0,2.41,88.8,96.4,70.4,103.6,Low,Low,Average,Low,South,East South Central
12-19-2023,,Alabama,Montgomery,36109,1969.0,0.0,145000.0,2.0,0.0,17424.0,2058.0,2.0,other,0.0,1.0,3.0,single_family,essentials,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1277.0,6518.0,121360.0,6648.0,73545.0,35.4,94582.0,106004.0,200586.0,14955.0,9337.0,2.41,88.8,96.4,70.4,103.6,Low,Low,Average,Low,South,East South Central
07-05-2023,9000.0,Alabama,Montgomery,36107,1955.0,0.0,65000.0,2.0,0.0,9712.0,1432.0,2.0,other,0.0,1.0,3.0,single_family,essentials,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1277.0,6518.0,121360.0,6648.0,73545.0,35.4,94582.0,106004.0,200586.0,14955.0,9337.0,2.41,88.8,96.4,70.4,103.6,Low,Low,Average,Low,South,East South Central
10-29-2023,5000.0,Alabama,Montgomery,36106,1984.0,0.0,169000.0,2.0,0.0,10890.0,1804.0,2.0,other,0.0,1.0,3.0,single_family,basic_opt_in,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1277.0,6518.0,121360.0,6648.0,73545.0,35.4,94582.0,106004.0,200586.0,14955.0,9337.0,2.41,88.8,96.4,70.4,103.6,Low,Low,Average,Low,South,East South Central
12-08-2023,,Alabama,Montgomery,36117,1999.0,0.0,180000.0,2.0,0.0,12632.0,1476.0,2.0,other,0.0,1.0,3.0,single_family,basic_opt_in,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1277.0,6518.0,121360.0,6648.0,73545.0,35.4,94582.0,106004.0,200586.0,14955.0,9337.0,2.41,88.8,96.4,70.4,103.6,Low,Low,Average,Low,South,East South Central
11-27-2023,5001.0,Alabama,Montgomery,36117,2001.0,0.0,260000.0,2.0,0.0,12632.0,1888.0,2.0,other,0.0,1.0,4.0,single_family,essentials,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1277.0,6518.0,121360.0,6648.0,73545.0,35.4,94582.0,106004.0,200586.0,14955.0,9337.0,2.41,88.8,96.4,70.4,103.6,Low,Low,Average,Low,South,East South Central
02-24-2023,,Alabama,Montgomery,36116,1962.0,0.0,60000.0,2.0,0.0,13068.0,1722.0,2.0,other,0.0,1.0,3.0,single_family,essentials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1277.0,6518.0,121360.0,6648.0,73545.0,35.4,94582.0,106004.0,200586.0,14955.0,9337.0,2.41,88.8,96.4,70.4,103.6,Low,Low,Average,Low,South,East South Central
11-30-2023,,Alabama,Montgomery,36109,1965.0,0.0,159000.0,2.0,0.0,11326.0,1635.0,2.0,other,2.0,1.0,3.0,single_family,essentials,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1277.0,6518.0,121360.0,6648.0,73545.0,35.4,94582.0,106004.0,200586.0,14955.0,9337.0,2.41,88.8,96.4,70.4,103.6,Low,Low,Average,Low,South,East South Central
09-01-2023,,Alabama,Montgomery,36108,1974.0,0.0,424900.0,2.0,1.0,740520.0,3339.0,3.0,other,0.0,2.0,3.0,single_family,basic_opt_in,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1277.0,6518.0,121360.0,6648.0,73545.0,35.4,94582.0,106004.0,200586.0,14955.0,9337.0,2.41,88.8,96.4,70.4,103.6,Low,Low,Average,Low,South,East South Central
